Unnamed: 0.1,Unnamed: 0,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,xG_Efficiency
-1.73,-1.7,Mason Mount,Chelsea,ENG,"MF,FW",-1.13,1.36,1.33,1.39,1.03,1.53,1.68,0.4,0.81,0.66,0.45,1.86,-0.22,-0.33,0.41,0.71,0.63
-1.72,-1.69,Timo Werner,Chelsea,GER,FW,-0.38,1.27,1.05,1.09,1.03,2.88,0.01,-0.28,-0.25,-0.27,1.76,1.5,-0.22,-0.33,0.53,1.83,-0.09
-1.71,-1.68,Ben Chilwell,Chelsea,ENG,DF,-0.63,0.49,0.87,0.76,0.19,1.53,1.56,-0.09,-0.25,-0.27,-0.27,0.3,0.21,-0.33,-0.01,1.08,0.7
-1.7,-1.68,Reece James,Chelsea,ENG,DF,-1.38,0.98,0.69,0.85,-0.36,0.18,1.85,0.77,-0.25,-0.27,-0.53,0.42,0.21,-0.33,-0.5,-0.03,0.02
-1.7,-1.67,César Azpilicueta,Chelsea,ESP,DF,1.12,0.4,0.6,0.65,-0.36,0.18,1.9,1.1,-0.25,-0.27,-0.73,0.3,1.07,2.85,-0.5,-0.03,0.87
-1.69,-1.66,N'Golo Kanté,Chelsea,FRA,MF,0.87,0.78,0.6,0.61,-0.64,0.18,1.08,0.98,-0.25,-0.27,-0.66,-0.42,1.93,-0.33,-0.74,-0.03,-0.84
-1.68,-1.66,Jorginho,Chelsea,ITA,MF,0.62,0.59,0.5,0.47,1.31,-0.26,1.46,1.37,7.18,8.07,1.11,0.06,-0.22,-0.33,1.14,-0.4,0.32
-1.67,-1.65,Thiago Silva,Chelsea,BRA,DF,2.38,0.1,0.5,0.39,-0.08,-0.71,1.67,1.9,-0.25,-0.27,-0.59,-0.78,1.07,2.85,-0.19,-0.77,1.21
-1.66,-1.64,Kurt Zouma,Chelsea,FRA,DF,-0.13,0.2,0.41,0.49,0.75,-0.71,1.43,1.69,-0.25,-0.27,-0.4,-1.02,0.21,-0.33,0.59,-0.77,2.37
-1.66,-1.64,Mateo Kovačić,Chelsea,CRO,MF,0.12,0.49,0.32,0.26,-0.64,-0.26,1.45,1.57,-0.25,-0.27,-0.59,0.06,0.64,-0.33,-0.74,-0.31,-0.84
-1.65,-1.63,Antonio Rüdiger,Chelsea,GER,DF,0.37,-0.28,0.14,0.15,-0.36,-0.71,1.04,1.53,-0.25,-0.27,-0.53,-0.78,-1.08,-0.33,-0.44,-0.77,0.02
-1.64,-1.62,Christian Pulisic,Chelsea,USA,"FW,MF",-1.13,0.49,0.05,0.18,0.47,0.18,-0.21,0.1,-0.25,-0.27,0.91,0.66,-0.22,-0.33,0.53,0.16,-0.11
-1.63,-1.62,Kai Havertz,Chelsea,GER,"MF,FW",-1.13,0.49,0.05,-0.05,0.47,0.63,-0.09,0.91,-0.25,-0.27,1.5,0.06,-0.22,-0.33,0.72,0.9,-0.28
-1.62,-1.61,Andreas Christensen,Chelsea,DEN,DF,-0.38,-0.48,-0.23,-0.21,-0.64,-0.71,0.42,1.81,-0.25,-0.27,-0.86,-0.78,-0.22,2.85,-0.74,-0.77,-0.84
-1.61,-1.61,Hakim Ziyech,Chelsea,MAR,"FW,MF",0.37,0.1,-0.23,-0.42,-0.08,0.63,-0.14,-0.61,-0.25,-0.27,0.06,2.34,0.21,-0.33,0.17,1.36,-0.15
-1.61,-1.6,Tammy Abraham,Chelsea,ENG,FW,-0.88,0.01,-0.5,-0.56,1.03,-0.26,-0.96,-1.47,-0.25,-0.27,2.74,-0.18,-1.08,-0.33,2.41,0.06,-0.29
-1.6,-1.59,Marcos Alonso,Chelsea,ESP,DF,0.87,-0.86,-0.59,-0.64,-0.08,-0.71,-0.36,0.31,-0.25,-0.27,0.13,0.3,-0.22,-0.33,0.41,-0.77,-0.2
-1.59,-1.59,Callum Hudson-Odoi,Chelsea,ENG,"FW,DF",-1.63,0.1,-0.68,-0.54,-0.08,0.63,-0.26,0.39,-0.25,-0.27,-0.14,2.1,-1.08,-0.33,0.29,1.55,0.02
-1.58,-1.58,Olivier Giroud,Chelsea,FRA,FW,1.88,-0.48,-0.86,-0.86,0.47,-0.71,-0.96,-0.68,-0.25,-0.27,2.87,0.06,-0.65,-0.33,2.17,-0.77,-0.48
